split,image_path,class_label
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080211900588.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080212081475.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080212465429.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080213265245.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080213574373.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080213879171.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080214084027.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080214369589.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080214657278.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080214763793.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080214993819.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080215533305.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080215932160.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080216057318.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080216237532.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080216575266.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080216902534.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080217178139.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080217281272.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080217683199.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080218720885.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080218799589.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080219193598.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080219367813.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080222434801.jpg,2
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080222639154.jpg,2
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080223502182.jpg,2
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080223630056.jpg,2
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080223959853.jpg,2
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080224241157.jpg,2
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080227209269.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080227566538.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080227820235.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080228197238.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080228414548.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080228810422.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080229614857.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080229699014.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080230066650.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080230891837.jpg,0
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080231781326.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080232139015.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080232445536.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080232909249.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080233215334.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080233448842.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080233890001.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080234386329.jpg,0
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080234583722.jpg,0
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080234732304.jpg,0
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080235426553.jpg,0
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080235668787.jpg,0
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080235768882.jpg,0
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080235970169.jpg,0
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080237335545.jpg,0
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080237741561.jpg,0
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080238874427.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080239201649.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080239643134.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080239996583.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080241272648.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080241301741.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080241603143.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080242191051.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080242465668.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080242567629.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080242891006.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080243167019.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080243504180.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080243581076.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080243804452.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080244547834.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080245055543.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080245581165.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080246461012.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080246706845.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080247917051.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080248096758.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080248396117.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080249299862.jpg,0
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080249526011.jpg,0
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080249655667.jpg,0
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080249834653.jpg,0
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080250543502.jpg,0
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080251878060.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080252128947.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080253026706.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080253186414.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080253763261.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080254137153.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080255138824.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080255439389.jpg,1
train,dataset/FLYING_OBJECT_DATASET_SMALL\train\images\train_20191206080256681528.jpg,1
